productId,name,subType,rarity,printing,marketPrice,lowPrice,highPrice,lastUpdated
593847,Dark Magician Girl (Platinum Secret Rare) (B),1st Edition,,,5.34,4.1,149.99,
593848,Dark Magician Girl (Platinum Secret Rare) (C),1st Edition,,,4.82,4.0,57.93,
593849,Dark Magician Girl (Quarter Century Secret Rare) (B),1st Edition,,,51.8,45.74,199.99,
593850,Dark Magician Girl (Quarter Century Secret Rare) (C),1st Edition,,,43.4,36.99,199.99,
593866,Polymerization (A) (Alternate Art),1st Edition,,,0.36,0.07,2.98,
593867,Polymerization (A) (Alternate Art) (Secret Rare),1st Edition,,,0.68,0.24,5.0,
593868,Polymerization (A) (Alternate Art) (Platinum Secret Rare),1st Edition,,,2.68,1.6,14.95,
593870,Polymerization (A) (Alternate Art) (PUR),1st Edition,,,1.05,0.64,3.01,
593874,Polymerization (B) (HERO Art) (PCR),1st Edition,,,1.64,1.56,10.0,
593877,Polymerization (A) (Alternate Art) (UR),1st Edition,,,0.33,0.1,5.5,
593879,Polymerization (A) (Alternate Art) (Quarter Century Secret Rare),1st Edition,,,14.2,11.99,50.0,
594073,Sky Striker Ace - Shizuku (Alternate Art) (Quarter Century Secret Rare),1st Edition,,,34.66,41.14,109.9,
594074,Ghost Sister & Spooky Dogwood (Alternate Art) (Quarter Century Secret Rare),1st Edition,,,5.72,4.74,59.99,
594720,Card Trooper (Platinum Secret Rare),1st Edition,,,0.76,0.47,9.99,
594897,Ghost Reaper & Winter Cherries (Alternate Art) (Quarter Century Secret Rare),1st Edition,,,8.88,7.95,50.0,
605130,Quarter Century Bonanza Tuck Box (Retail Exclusive),Normal,,,46.95,48.98,99.99,
